Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
Moldova,Europe,4032983.0,26628,,828.0,,18676.0,,7124.0,362.0,6603.0,205.0,128076.0,31757.0,Europe
Ireland,Europe,4943200.0,26372,,1768.0,,23364.0,,1240.0,5.0,5335.0,358.0,652917.0,132084.0,Europe
Austria,Europe,9011577.0,21696,,719.0,,19596.0,,1381.0,25.0,2408.0,80.0,937275.0,104008.0,Europe
Czechia,Europe,10711019.0,17731,,390.0,,12320.0,,5021.0,17.0,1655.0,36.0,728670.0,68030.0,Europe
Denmark,Europe,5794279.0,14306,,617.0,,12787.0,,902.0,2.0,2469.0,106.0,1654512.0,285542.0,Europe
Bosnia and Herzegovina,Europe,3278650.0,13396,,384.0,,7042.0,,5970.0,,4086.0,117.0,147021.0,44842.0,Europe
Bulgaria,Europe,6942854.0,13014,,435.0,,7374.0,,5205.0,47.0,1874.0,63.0,294087.0,42358.0,Europe
North Macedonia,Europe,2083365.0,11399,,517.0,,7480.0,,3402.0,3.0,5471.0,248.0,109946.0,52773.0,Europe
Norway,Europe,5425471.0,9468,,256.0,,8857.0,,355.0,3.0,1745.0,47.0,472841.0,87152.0,Europe
Finland,Europe,5541604.0,7532,,331.0,,6980.0,,221.0,,1359.0,60.0,389500.0,70287.0,Europe
Luxembourg,Europe,626952.0,7073,,119.0,,5750.0,,1204.0,9.0,11282.0,190.0,623994.0,995282.0,Europe
Albania,Europe,2877470.0,6016,,188.0,,3155.0,,2673.0,23.0,2091.0,65.0,38997.0,13553.0,Europe
Croatia,Europe,4102577.0,5404,,155.0,,4688.0,,561.0,7.0,1317.0,38.0,125317.0,30546.0,Europe
Greece,Europe,10417673.0,5123,,210.0,,1374.0,,3539.0,14.0,492.0,20.0,619393.0,59456.0,Europe
Hungary,Europe,9657785.0,4597,,600.0,,3463.0,,534.0,8.0,476.0,62.0,352546.0,36504.0,Europe
Montenegro,Europe,628074.0,3480,,60.0,,2178.0,,1242.0,,5541.0,96.0,38427.0,61182.0,Europe
Slovakia,Europe,5459915.0,2480,,29.0,,1824.0,,627.0,2.0,454.0,5.0,272322.0,49877.0,Europe
Slovenia,Europe,2078968.0,2223,,125.0,,1909.0,,189.0,2.0,1069.0,60.0,135702.0,65274.0,Europe
Lithuania,Europe,2718121.0,2171,,81.0,,1656.0,,434.0,6.0,799.0,30.0,540784.0,198955.0,Europe
Estonia,Europe,1326627.0,2124,,63.0,,1954.0,,107.0,,1601.0,47.0,122880.0,92626.0,Europe
Iceland,Europe,341465.0,1930,,10.0,,1825.0,,95.0,,5652.0,29.0,149693.0,438385.0,Europe
Latvia,Europe,1883936.0,1275,,32.0,,1070.0,,173.0,,677.0,17.0,207909.0,110359.0,Europe
Malta,Europe,441663.0,946,,9.0,,670.0,,267.0,,2142.0,20.0,136713.0,309541.0,Europe
Andorra,Europe,77278.0,944,,52.0,,828.0,,64.0,1.0,12216.0,673.0,3750.0,48526.0,Europe
San Marino,Europe,33938.0,699,,42.0,,657.0,,0.0,,20596.0,1238.0,6068.0,178797.0,Europe
Channel Islands,Europe,174022.0,597,,47.0,,533.0,,17.0,,3431.0,270.0,30721.0,176535.0,
Isle of Man,Europe,85078.0,336,,24.0,,312.0,,0.0,,3949.0,282.0,8627.0,101401.0,
Faeroe Islands,Europe,48882.0,266,,,,192.0,,74.0,1.0,5442.0,,43045.0,880590.0,
Gibraltar,Europe,33690.0,190,,,,184.0,,6.0,,5640.0,,23063.0,684565.0,
Monaco,Europe,39270.0,125,,4.0,,105.0,,16.0,2.0,3183.0,102.0,38209.0,972982.0,Europe
Liechtenstein,Europe,38139.0,89,,1.0,,85.0,,3.0,,2334.0,26.0,900.0,23598.0,Europe
Vatican City,Europe,801.0,12,,,,12.0,,0.0,,14981.0,,,,Europe
